Time(Sec),Roll(rad),Pitch(rad),Yaw(rad),A_x(m/s2),A_y(m/s2),A_z(m/s2)
17.076728,0.107880,-0.005963,3.053959,0.070563,1.049834,9.704782
17.250074,0.107850,-0.005967,3.053939,0.076024,1.043514,9.702286
17.250084,0.107872,-0.005969,3.053936,0.090812,1.036185,9.713297
17.250091,0.107867,-0.005964,3.053926,0.084335,1.030650,9.698593
17.250106,0.107855,-0.005956,3.053988,0.075553,1.041929,9.711706
17.250121,0.107872,-0.005990,3.054003,0.073906,1.043669,9.699128
17.289988,0.107853,-0.005998,3.053918,0.084544,1.037018,9.708841
17.290001,0.107853,-0.006009,3.053961,0.073537,1.032179,9.718962
17.290006,0.107846,-0.006018,3.053986,0.074721,1.034423,9.709068
17.290039,0.107830,-0.006034,3.053906,0.080092,1.038398,9.700385
18.053619,0.107822,-0.006028,3.053915,0.070288,1.043794,9.702408
18.053624,0.107815,-0.006047,3.053934,0.088206,1.027545,9.702709
18.053652,0.107817,-0.006035,3.053943,0.069303,1.036183,9.701087
18.053678,0.107830,-0.006042,3.053959,0.081083,1.038060,9.704329
18.053704,0.107832,-0.006040,3.053931,0.076007,1.042250,9.707833
18.057616,0.107861,-0.006043,3.053923,0.064319,1.034168,9.691904
18.057625,0.107851,-0.006025,3.053960,0.091107,1.026446,9.703195
18.057628,0.107862,-0.006018,3.053942,0.062919,1.050568,9.703453
18.057649,0.107818,-0.006029,3.053958,0.069156,1.053725,9.702030
18.060304,0.107823,-0.006042,3.053950,0.083456,1.041301,9.714008
18.060311,0.107789,-0.006038,3.053994,0.077800,1.034558,9.720306
18.060315,0.107785,-0.006040,3.053989,0.083581,1.049037,9.702273
18.060324,0.107797,-0.006047,3.053950,0.090526,1.035816,9.700391
18.060336,0.107788,-0.006040,3.053952,0.075178,1.041496,9.705434
18.061987,0.107794,-0.006038,3.053898,0.075264,1.046517,9.706252
18.061994,0.107790,-0.006025,3.053868,0.074705,1.042217,9.703371
18.061998,0.107757,-0.006065,3.053820,0.077637,1.039977,9.702799
18.062002,0.107764,-0.006074,3.053810,0.078602,1.035897,9.694338
18.111413,0.107758,-0.006052,3.053781,0.074626,1.040804,9.709417
18.111427,0.107774,-0.006041,3.053812,0.079472,1.041684,9.713273
18.111432,0.107758,-0.006020,3.053783,0.075942,1.038134,9.696876
18.111436,0.107769,-0.006034,3.053835,0.075126,1.041736,9.705297
18.111441,0.107762,-0.006024,3.053850,0.088512,1.040749,9.705199
18.111444,0.107739,-0.006023,3.053879,0.086552,1.037185,9.702568
18.111448,0.107744,-0.006027,3.053857,0.082381,1.038062,9.706655
18.111451,0.107735,-0.006030,3.053826,0.079451,1.028161,9.704148
18.111454,0.107740,-0.006032,3.053837,0.086273,1.034011,9.706786
18.113125,0.107738,-0.006020,3.053841,0.074806,1.039853,9.704225
18.113137,0.107733,-0.006011,3.053862,0.069729,1.045212,9.708909
18.113141,0.107726,-0.006027,3.053888,0.070305,1.047917,9.704922
18.113147,0.107719,-0.006034,3.053842,0.066859,1.040672,9.711708
18.113151,0.107738,-0.006045,3.053856,0.083057,1.034181,9.706637
18.113816,0.107760,-0.006035,3.053860,0.089927,1.033858,9.702545
18.113822,0.107802,-0.006011,3.053875,0.090391,1.033581,9.702301
18.113826,0.107781,-0.006024,3.053836,0.079447,1.033797,9.704020
18.113829,0.107757,-0.006022,3.053808,0.075665,1.040650,9.702435
18.159851,0.107738,-0.006024,3.053773,0.075116,1.046775,9.713261
18.159861,0.107694,-0.006021,3.053785,0.066364,1.051288,9.703485
18.159868,0.107697,-0.006035,3.053839,0.069816,1.054932,9.696577
18.159872,0.107735,-0.006058,3.053833,0.074830,1.036749,9.700109
18.159877,0.107756,-0.006077,3.053801,0.078744,1.035419,9.705198
18.161618,0.107755,-0.006076,3.053800,0.079888,1.038842,9.715563
