Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
227.5338251591,59.6614783665,10.6758720700,6614903.7156337341,594422.9908478427
228.5337409973,59.6614802400,10.6758765167,6614903.9305521352,594423.2360824029
229.5349953175,59.6614820003,10.6758809167,6614904.1328043491,594423.4790061426
230.5340483189,59.6614835273,10.6758853350,6614904.3091036407,594423.7236186645
231.5343496799,59.6614853282,10.6758898433,6614904.5160192074,594423.9725314174
232.5345556736,59.6614870855,10.6758944617,6614904.7182480367,594424.2277632607
232.5345556736,59.6614889138,10.6758989283,6614904.9281661799,594424.4742513627
233.5347986221,59.6614906492,10.6759034283,6614905.1277772607,594424.7228787288
234.5344510078,59.6614924018,10.6759079000,6614905.3292779243,594424.9698611855
235.5351119041,59.6614940483,10.6759125767,6614905.5192497754,594425.2286907182
236.5339102745,59.6614959840,10.6759170333,6614905.7411041036,594425.4743135957
237.5344982147,59.6614978048,10.6759216983,6614905.9504694287,594425.7319956956
238.5342125893,59.6614994875,10.6759260533,6614906.1440104907,594425.9726024683
239.5344648361,59.6615012575,10.6759305450,6614906.3474695580,594426.2206627512
240.5346601009,59.6615029433,10.6759349917,6614906.5414936254,594426.4664245835
241.5351002216,59.6615047075,10.6759394433,6614906.7442463487,594426.7122478262
242.5346670151,59.6615065187,10.6759440117,6614906.9523979714,594426.9645112791
243.5344190598,59.6615083410,10.6759485467,6614907.1617454728,594427.2148654856
244.5336091518,59.6615101938,10.6759529300,6614907.3742730636,594427.4565898178
245.5350015163,59.6615119947,10.6759575450,6614907.5813406240,594427.7115111912
246.5375857353,59.6615136132,10.6759620417,6614907.7679391196,594427.9602789115
247.5341882706,59.6615154312,10.6759666683,6614907.9769346258,594428.2158092025
247.5341882706,59.6615172662,10.6759711167,6614908.1875692103,594428.4612453184
248.5334331989,59.6615191128,10.6759755867,6614908.3995335856,594428.7078691889
249.5341255665,59.6615210548,10.6759800350,6614908.6220814362,594428.9530044066
250.5346693993,59.6615228783,10.6759844417,6614908.8313763980,594429.1961254945
251.5331561565,59.6615247078,10.6759887500,6614909.0411995202,594429.4336901107
252.5467936993,59.6615265377,10.6759930433,6614909.2510384331,594429.6704087433
253.5336008072,59.6615284437,10.6759974733,6614909.4695520746,594429.9146122644
254.5356638432,59.6615297605,10.6760019733,6614909.6225683065,594430.1644157119
255.5362555981,59.6615315617,10.6760065633,6614909.8296376029,594430.4179274780
256.5354504585,59.6615334057,10.6760112233,6614910.0415755063,594430.6752622080
257.5339429379,59.6615352283,10.6760158733,6614910.2511239778,594430.9320935447
258.5348384380,59.6615370182,10.6760202883,6614910.4566825265,594431.1757785302
259.5344817638,59.6615387860,10.6760247217,6614910.6598177245,594431.4205581477
260.5352075100,59.6615405875,10.6760288917,6614910.8663267093,594431.6504082925
261.5347025394,59.6615424218,10.6760336500,6614911.0773283197,594431.9133096322
262.5348362923,59.6615442763,10.6760382233,6614911.2903120862,594432.1657323341
