Img_Time(Sec),GPS_Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
294.63119,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
294.79708,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
294.97148,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
295.16303,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
295.29295,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
295.45857,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
295.62247,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
295.78554,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
295.95245,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
296.16194,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
296.28619,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
296.45180,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
296.61852,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
296.78305,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
296.97830,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
297.12692,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
297.27962,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
297.44892,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
297.61346,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
297.77833,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
297.95228,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
298.11081,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
298.29568,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
298.44437,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
298.61930,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
298.78355,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
298.95896,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
299.11067,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
299.27825,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
299.44568,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
299.61463,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
299.77741,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
299.94477,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
300.11058,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
300.29315,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
300.45176,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
300.61493,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
300.77896,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
300.94726,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
301.11136,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
301.27786,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
301.44509,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
301.62932,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
301.77725,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
301.94520,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
302.11225,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
302.29601,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
302.45862,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
302.62317,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
302.77833,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
302.94483,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
303.12999,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
303.27739,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
303.44511,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
303.61649,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
303.77726,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
303.95845,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
304.11023,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
304.27769,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
304.46871,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
304.61200,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
304.79614,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
304.96796,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
305.11157,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
305.27773,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
305.44523,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
305.61741,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
305.77781,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
305.94386,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
306.12356,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
306.27899,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
306.44569,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
306.61372,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
306.77801,291.48262,59.6611507242,10.6749839883,6614865.973,594373.882
