Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
200.5436744690,59.6613277108,10.6754473050,6614886.3376767859,594399.4852730179
201.5303053856,59.6613259052,10.6754424850,6614886.1297815004,594399.2188135437
202.5291419029,59.6613241098,10.6754377550,6614885.9231647234,594398.9573951461
203.5422728062,59.6613222743,10.6754329733,6614885.7120023929,594398.6931789735
204.5416839123,59.6613206505,10.6754282217,6614885.5244494211,594398.4300578943
205.5677936077,59.6613188098,10.6754233933,6614885.3126455052,594398.1632272186
206.5540435314,59.6613169923,10.6754183983,6614885.1031839345,594397.8869422303
207.5317609310,59.6613150967,10.6754135450,6614884.8852208834,594397.6188577045
208.5394794941,59.6613131972,10.6754087833,6614884.6669614101,594397.3559479651
209.5257506371,59.6613112295,10.6754037650,6614884.4407473663,594397.0787704643
210.5270214081,59.6613093110,10.6753989750,6614884.2203322053,594396.8143179046
211.5514805317,59.6613075107,10.6753943300,6614884.0132797919,594396.5577017710
212.5374417305,59.6613055640,10.6753894100,6614883.7895437572,594396.2860047618
213.5372774601,59.6613036445,10.6753846750,6614883.5690955333,594396.0246533469
214.5768597126,59.6613019827,10.6753801617,6614883.3776508188,594395.7750653032
215.5362265110,59.6613001690,10.6753754950,6614883.1690831473,594395.5172659361
215.5362265110,59.6612982672,10.6753705017,6614882.9502345845,594395.2413115588
216.5088403225,59.6612964103,10.6753656650,6614882.7366190786,594394.9740564972
217.5924887657,59.6612944762,10.6753608833,6614882.5144716166,594394.7101171834
218.6898310184,59.6612925608,10.6753559700,6614882.2942338092,594394.4387074574
219.9181323051,59.6612907540,10.6753513650,6614882.0865147430,594394.1843627304
220.8403556347,59.6612888050,10.6753464400,6614881.8625119822,594393.9123903213
221.5066432953,59.6612869157,10.6753414850,6614881.6451097857,594393.6385601326
222.5065557957,59.6612849740,10.6753367600,6614881.4222079637,594393.3778340614
223.5590105057,59.6612832163,10.6753321717,6614881.2199868197,594393.1242899499
224.5050411224,59.6612813800,10.6753273417,6614881.0086633889,594392.8573525952
225.5047872066,59.6612795270,10.6753225933,6614880.7956004664,594392.5950627499
226.4990818501,59.6612777247,10.6753177717,6614880.5880744411,594392.3284992371
227.5038409233,59.6612758748,10.6753130100,6614880.3753451677,594392.0654492978
228.5033311844,59.6612740652,10.6753080317,6614880.1667799074,594391.7900805058
229.5030651093,59.6612722167,10.6753031517,6614879.9540308528,594391.5203604399
230.5158109665,59.6612703300,10.6752984183,6614879.7372409562,594391.2590100896
230.5158109665,59.6612685398,10.6752936817,6614879.5311905155,594390.9972007164
231.4745781422,59.6612666907,10.6752887883,6614879.3183483332,594390.7267312986
232.4733486176,59.6612647053,10.6752838983,6614879.0903502936,594390.4568323214
233.4728693962,59.6612628450,10.6752792067,6614878.8765516430,594390.1977551368
234.4727430344,59.6612608907,10.6752743033,6614878.6519861817,594389.9270178374
235.4719803333,59.6612590448,10.6752694467,6614878.4395673443,594389.6586045476
236.4816620350,59.6612571850,10.6752646617,6614878.2256916976,594389.3942679230
237.4846670628,59.6612556383,10.6752600783,6614878.0469703935,594389.1404120608
238.4714312553,59.6612537308,10.6752551633,6614877.8276027814,594388.8688857747
239.4705500603,59.6612518278,10.6752502667,6614877.6087622819,594388.5983796208
240.4832253456,59.6612499587,10.6752453667,6614877.3936840212,594388.3275905672
241.4963181019,59.6612483362,10.6752406400,6614877.2063157931,594388.0658730151
242.4822816849,59.6612463797,10.6752357733,6614876.9815613935,594387.7972071772
243.4816699028,59.6612446692,10.6752307567,6614876.7839830276,594387.5193996909
244.4945020676,59.6612428058,10.6752258550,6614876.5695519494,594387.2485002300
245.4816057682,59.6612409338,10.6752209900,6614876.3542080969,594386.9796907159
245.4816057682,59.6612389902,10.6752160583,6614876.1307901973,594386.7073269009
246.4805240631,59.6612370910,10.6752111267,6614875.9123268872,594386.4348379944
247.4771180153,59.6612354090,10.6752063417,6614875.7182511939,594386.1700012402
248.4807255268,59.6612335422,10.6752015633,6614875.5036059078,594385.9060594630
249.4797289371,59.6612317195,10.6751966050,6614875.2936221454,594385.6318532059
250.4929964542,59.6612298130,10.6751917183,6614875.0744064162,594385.3619198664
251.4791824818,59.6612280942,10.6751865417,6614874.8756729010,594385.0751219031
252.4787938595,59.6612260907,10.6751818317,6614874.6459085755,594384.8154136427
253.5184557438,59.6612241738,10.6751770250,6614874.4256561641,594384.5500160614
254.4752364159,59.6612221972,10.6751720383,6614874.1984860627,594384.2746462639
255.5041458607,59.6612203435,10.6751672000,6614873.9852215555,594384.0072871583
256.5312647820,59.6612183418,10.6751623050,6614873.7553983657,594383.7371516093
257.4768419266,59.6612165867,10.6751576967,6614873.5534277987,594383.4824727264
258.4983003139,59.6612148062,10.6751530600,6614873.3485963773,594383.2262688446
259.4755423069,59.6612130302,10.6751481267,6614873.1438441649,594382.9533395157
260.4714462757,59.6612112220,10.6751432933,6614872.9356527720,594382.6861340709
260.4714462757,59.6612094228,10.6751383350,6614872.7282857075,594382.4118614051
261.4709365368,59.6612074817,10.6751335050,6614872.5052910503,594382.1452174388
262.4583916664,59.6612056848,10.6751287067,6614872.2984113190,594381.8799517869
263.4566242695,59.6612038022,10.6751239167,6614872.0819868892,594381.6153967717
264.4826276302,59.6612020305,10.6751189533,6614871.8776746076,594381.3407650286
265.4636549950,59.6612000745,10.6751141717,6614871.6530972300,594381.0768854900
